ID,scientific_name
invert,<NA>
invert,Acantholithodes hispidus
invert,Actinauge verrilli
invert,Actiniaria
invert,Ampheraster marianus
invert,Anisodoris nobilis
invert,Annelida
invert,Anteliaster
invert,Anthopleura xanthogrammica
invert,Anthoptilum grandiflorum
invert,Antipatharia
invert,Aphrodita
invert,Archidoris odhneri
invert,Armina californica
invert,Asterina miniata
invert,Asteroidea
invert,Asteronyx longifissus
invert,Astropecten armatus
invert,Astropecten californicus
invert,Atolla
invert,Aurelia
invert,Bathypathes
invert,Benthoctopus leioderma
invert,Berryteuthis magister
invert,Bivalvia
invert,Boreotrophon stuarti
invert,Brachiopoda
invert,Brachyura
invert,Brisaster latifrons
invert,Brisaster townsendi
invert,Buccinidae
invert,Callianassa
invert,Cancer anthonyi
invert,Cancer branneri
invert,Cancer gracilis
invert,Cancer magister
invert,Cancer productus
invert,Cancridae
invert,Careproctus melanurus
invert,Cheiraster dawsoni
invert,Chionoecetes
invert,Chionoecetes tanneri
invert,Chorilia longipes
invert,Chrysaora
invert,Chrysaora fuscens
invert,Chrysaora melanaster
invert,Clypeasteroida
invert,Crangon communis
invert,Crangonidae
invert,Crinoidea
invert,Crossaster borealis
invert,Crossaster papposus
invert,Cryptacanthodidae
invert,Cryptonatica affinis
invert,Ctenodiscus crispatus
invert,Ctenophora
invert,Cyanea capillata
invert,Delectopecten vancouverensis
invert,Dermasterias imbricata
invert,Diplopteraster multipes
invert,Dipsacaster eximius
invert,Doryteuthis opalescens
invert,Dosidicus gigas
invert,Echinoidea (crushed urchin)
invert,empty bivalve shells
invert,Enteroctopus dofleini
invert,Euspira lewisii
invert,Fusitriton oregonensis
invert,Galiteuthis phyllura
invert,Gastropoda
invert,Gephyreaster swifti
invert,Gonatopsis borealis
invert,Gonatus onyx
invert,Gorgonacea
invert,Gorgonocephalus eucnemis
invert,Graneledone boreopacifica
invert,Gymnolaemata
invert,Halocynthia hispidus
invert,Halocynthia igaboja
invert,Heterozonias alternatus
invert,Hexactinellida
invert,Hippasteria californica
invert,Hippasteria spinosa
invert,Holothuroidea
invert,Hormathiidae
invert,Hyas lyratus
invert,Invertebrata
invert,Lepeta
invert,Lillipathes
invert,Liponema brevicornis
invert,Lithodidae
invert,Lophaster furcilliger
invert,Lophaster vexator
invert,Lopholithodes foraminatus
invert,Lopholithodes mandtii
invert,Loxorhynchus crispatus
invert,Luidia asthenosoma
invert,Luidia foliolata
invert,Lytechinus anamesus
invert,Majidae
invert,Mediaster aequalis
invert,Metridium farcimen
invert,Molpadia intermedia
invert,Moroteuthis robusta
invert,Munida quadrispina
invert,Mytilidae
invert,Myxoderma platyacanthum
invert,Nearchaster aciculosus
invert,Neomenia
invert,Neptunea amianta
invert,Nudibranchia
invert,Octopodidae
invert,Octopus californicus
invert,Octopus rubescens
invert,Ophiura sarsi
invert,Ophiurida
invert,Ophiuroidea
invert,Oractis diomedeae
invert,Oregonia gracilis
invert,Orthasterias koehleri
invert,Paguridae
invert,Paguristes turgidus
invert,Pandalidae
invert,Pandalopsis dispar
invert,Pandalus borealis
invert,Pandalus danae
invert,Pandalus hypsinotus
invert,Pandalus jordani
invert,Pandalus platyceros
invert,Pannychia moseleyi
invert,Panopea abrupta
invert,Paractinostola faeculenta
invert,Paralomis multispina
invert,Parastichopus californicus
invert,Parastichopus leukothele
invert,Pasiphaea pacifica
invert,Patinopecten caurinus
invert,Pennatulacea
invert,Philine bakeri
invert,Pisaster brevispinus
invert,Platyhelminthes
invert,Platymera gaudichaudii
invert,Pleurobranchaea californica
invert,Pleuroncodes planipes
invert,Polychaeta
invert,Polyplacophora
invert,Poraniopsis flexilis
invert,Poraniopsis inflata
invert,Porifera
invert,Pseudarchaster dissonus
invert,Pseudarchaster parelii
invert,Pseudarchaster pusillus
invert,Pseudostichopus mollis
invert,Psolus squamatus
invert,Pteraster jordani
invert,Pteraster militaris
invert,Pteraster obscurus
invert,Pteraster tesselatus
invert,Ptilosarcus gurneyi
invert,Pugettia
invert,Pugettia richii
invert,Puncturella rothi
invert,Pycnopodia helianthoides
invert,Pyrosoma
invert,Pyrosoma atlanticum
invert,Rathbunaster californicus
invert,Red Striated Anemone
invert,Rhinolithodes wosnessenskii
invert,Rossia pacifica
invert,Sclerasterias heteropaes
invert,Scyphozoa
invert,Sergestes similis
invert,Sicyonia ingentis
invert,Sicyonis
invert,Sipuncula
invert,Solaster
invert,Solaster dawsoni
invert,Solaster endeca
invert,Solaster exiguus
invert,Solaster paxillatus
invert,Solaster stimpsoni
invert,Spatangoida
invert,Stegophiura ponderosa
invert,Stylasterias forreri
invert,Stylasteridae
invert,Taonius pavo
invert,Teuthida
invert,Thaliacea
invert,Thetys vagina
invert,Thrissacanthias penicillatus
invert,Tritonia diomedea
invert,tube worm unident.
invert,Tunicata
invert,unsorted shab
invert,Upogebia pugettensis
invert,Urticina columbiana
invert,Urticina crassicornis
invert,Vesicomya pacifica
invert,Zoroaster evermanni
invert,Abraliopsis felis
invert,Acanthoptilum gracile
invert,Actinostola
invert,Actinostolidae
invert,Aequorea
invert,Antedonidae
invert,Antiplanes
invert,Aphroditidae
invert,Asterias
invert,Asteronyx
invert,Benthoctopus
invert,Brisaster
invert,Caridea
invert,Carinariidae
invert,Ceramaster
invert,Chiroteuthis
invert,Chiroteuthis calyx
invert,Chlamys hastata hericia
invert,Chrysopathes
invert,Colus
invert,Crangon
invert,Crossaster
invert,Cucumaria
invert,Cyclocardia
invert,Decapoda
invert,Dipsacaster
invert,Echinacea
invert,Florometra
invert,Galatheidae
invert,Gonatus
invert,Halipteris
invert,Halipteris willemoesi
invert,Hapalogaster grebnitzkii
invert,Henricia
invert,Hexactinosida
invert,Hippasteria
invert,Hyas
invert,Icelinus
invert,Leptychaster
invert,Luidia
invert,Mediaster
invert,Metridium
invert,Molpadia
invert,Naticidae
invert,Neptunea
invert,Octopoteuthidae
invert,Octopus
invert,Onychoteuthidae
invert,Ophiacantha
invert,Ophiopholis
invert,Orthasterias
invert,Pagurus
invert,Pandalus
invert,Parastichopus
invert,Phacellophora
invert,Pisaster
invert,Polinices
invert,Pseudarchaster
invert,Pseudarchaster alascensis
invert,Pteraster
invert,Rossellinae
invert,Sergestes
invert,Stomphia
invert,Strongylocentrotus
invert,Strongylocentrotus cf. fragilis
invert,Swiftia pacifica
invert,Terebratellacea
invert,Tritonia
invert,Urticina
invert,Yoldia
invert,Calinaticina oldroydii
invert,Chionoecetes bairdi
invert,Cryptopeltaster lepidonotus
invert,Dorididae
invert,Halocynthia
invert,Isopoda
invert,Lopholithodes
invert,Mya
invert,Pectinidae
invert,Scleractinia
invert,Spirontocaris lamellicornis
fish,Acipenser medirostris
fish,Agonidae
fish,Agonopsis sterletus
fish,Agonopsis vulsa
fish,Alepisaurus ferox
fish,Alepocephalus tenebrosus
fish,Allosmerus elongatus
fish,Alosa sapidissima
fish,Ammodytes hexapterus
fish,Anarrhichthys ocellatus
fish,Anoplopoma fimbria
fish,Apristurus brunneus
fish,Argentina sialis
fish,Argentinidae
fish,Argyropelecus
fish,Arhynchobatidae
fish,Atheresthes stomias
fish,Bathyagonus alascanus
fish,Bathyagonus nigripinnis
fish,Bathyagonus pentacanthus
fish,Bathymaster signatus
fish,Bathyraja
fish,Bathyraja kincaidii
fish,Bathyraja parmifera
fish,Bathyraja spinosissima
fish,Bathyraja trachura
fish,Bothidae
fish,Chaenophryne longiceps
fish,Chauliodus macouni
fish,Chesnonia verrucosa
fish,Chilara taylori
fish,Chitonotus pugetensis
fish,Citharichthys
fish,Citharichthys sordidus
fish,Citharichthys stigmaeus
fish,Clinocottus acuticeps
fish,Clupea pallasii
fish,Cololabis saira
fish,Cottidae
fish,Cryptacanthodes aleutensis
fish,Cryptacanthodes giganteus
fish,Cymatogaster aggregata
fish,Diaphus theta
fish,Embassichthys bathybius
fish,Engraulidae
fish,Engraulis mordax
fish,Enophrys bison
fish,Enophrys taurina
fish,Entosphenus tridentata
fish,Eopsetta jordani
fish,Eptatretus
fish,Eptatretus deani
fish,Eptatretus stoutii
fish,fish unident.
fish,Gadus chalcogrammus
fish,Gadus macrocephalus
fish,Galeorhinus galeus
fish,Glyptocephalus zachirus
fish,Gymnocanthus tricuspis
fish,Hemilepidotus
fish,Hemilepidotus hemilepidotus
fish,Hemilepidotus spinosus
fish,Hexagrammos
fish,Hexagrammos decagrammus
fish,Hexanchus griseus
fish,Hippoglossoides elassodon
fish,Hippoglossus stenolepis
fish,Hydrolagus colliei
fish,Hypomesus pretiosus
fish,Icelinus borealis
fish,Icelinus burchami
fish,Icelinus filamentosus
fish,Icelinus fimbriatus
fish,Icelinus oculatus
fish,Icelinus tenuis
fish,Icichthys lockingtoni
fish,Icosteus aenigmaticus
fish,Idiacanthus antrostomus
fish,Isopsetta isolepis
fish,Jordania zonope
fish,Lampanyctus
fish,Lampanyctus ritteri
fish,Lepidopsetta
fish,Lepidopsetta bilineata
fish,Lepidopsetta polyxystra
fish,Leptocottus armatus
fish,Liparis fucensis
fish,Liparis pulchellus
fish,Lycenchelys crotalinus
fish,Lycodes brevipes
fish,Lycodes cortezianus
fish,Lycodes diapterus
fish,Lycodes pacificus
fish,Lycodes palearis
fish,Lyopsetta exilis
fish,Merluccius productus
fish,Microgadus proximus
fish,Microstomus pacificus
fish,Mola mola
fish,Myctophidae
fish,Myxinidae
fish,Nautichthys oculofasciatus
fish,Odontopyxis trispinosa
fish,Oncorhynchus kisutch
fish,Oncorhynchus tshawytscha
fish,Oneirodidae
fish,Ophidiidae
fish,Ophiodon elongatus
fish,Osmeridae
fish,Osmerus mordax
fish,Paricelinus hopliticus
fish,Parophrys vetulus
fish,Peprilus simillimus
fish,Petromyzontidae
fish,Platichthys stellatus
fish,Plectobranchus evides
fish,Pleuronectiformes
fish,Pleuronichthys decurrens
fish,Pleuronichthys verticalis
fish,Podothecus accipenserinus
fish,Porichthys notatus
fish,Poroclinus rothrocki
fish,Psettichthys melanostictus
fish,Radulinus asprellus
fish,Raja
fish,Raja binoculata
fish,Raja inornata
fish,Raja rhina
fish,Raja stellulata
fish,Rajidae
fish,Rajiformes
fish,Rhacochilus vacca
fish,Rhamphocottus richardsoni
fish,Ronquilus jordani
fish,Sardinops sagax
fish,Scomber japonicus
fish,Scomberesocidae
fish,Scombridae
fish,Scorpaenichthys marmoratus
fish,Scyliorhinidae
fish,Sebastes
fish,Sebastes alutus
fish,Sebastes auriculatus
fish,Sebastes aurora
fish,Sebastes babcocki
fish,Sebastes borealis
fish,Sebastes brevispinis
fish,Sebastes carnatus
fish,Sebastes caurinus
fish,Sebastes chlorostictus
fish,Sebastes crameri
fish,Sebastes diploproa
fish,Sebastes elongatus
fish,Sebastes emphaeus
fish,Sebastes ensifer
fish,Sebastes entomelas
fish,Sebastes eos
fish,Sebastes flavidus
fish,Sebastes goodei
fish,Sebastes helvomaculatus
fish,Sebastes hopkinsi
fish,Sebastes jordani
fish,Sebastes levis
fish,Sebastes maliger
fish,Sebastes melanops
fish,Sebastes melanostomus
fish,Sebastes mystinus
fish,Sebastes nigrocinctus
fish,Sebastes paucispinis
fish,Sebastes pinniger
fish,Sebastes proriger
fish,Sebastes reedi
fish,Sebastes rosaceus
fish,Sebastes ruberrimus
fish,Sebastes rubrivinctus
fish,Sebastes rufus
fish,Sebastes saxicola
fish,Sebastes semicinctus
fish,Sebastes sp. (aleutianus / melanostictus)
fish,Sebastes sp. (miniatus / crocotulus)
fish,Sebastes variegatus
fish,Sebastes wilsoni
fish,Sebastes zacentrus
fish,Sebastolobus alascanus
fish,Sebastolobus altivelis
fish,Selachii sharks
fish,Somniosus pacificus
fish,Spirinchus starksi
fish,Spirinchus thaleichthys
fish,Squalus suckleyi
fish,Stenobrachius leucopsarus
fish,Sternoptychidae
fish,Stomias atriventer
fish,Thaleichthys pacificus
fish,Torpedo californica
fish,Trachipterus altivelis
fish,Trachurus symmetricus
fish,Trichodon trichodon
fish,Triglops macellus
fish,Xeneretmus latifrons
fish,Xeneretmus leiops
fish,Xeneretmus triacanthus
fish,Zaniolepis frenata
fish,Zaniolepis latipinnis
fish,Zaprora silenus
fish,Zoarcidae
